wave	year	source_file	module	raw_variable	label	selected_value_coding	denominator_rule	missingness_rule	outcome	outcome_tier
1	2011	data/raw/charls/downloads/harmonized/regular_waves/H_CHARLS_D_Data.dta	harmonized_charls	r1trdmed1m	r1trdmed1m:w1 r Chinese medicine hospital visit last month	0/1 harmonized indicator	Respondents with valid Harmonized CHARLS health-care response for wave	Keep missing as missing	strict_tcm_hospital_visit	strict_secondary
1	2011	data/raw/charls/downloads/harmonized/regular_waves/H_CHARLS_D_Data.dta	harmonized_charls	r1trdmdtim1m	r1trdmdtim1m:w1 r # Chinese medicine hospital visits last month	numeric count	Respondents with valid Harmonized CHARLS health-care response for wave	Keep missing as missing	strict_tcm_hospital_visit_count	strict_secondary
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_care_and_insurance.dta	health_care	ef001s3	LY Treat Yourself By Consumed Traditional Herbs/Medicines	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_self_treatment_herbs_medicines	secondary_broader_raw
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_care_and_insurance.dta	health_care	ed004s3	Have Visited Chinese Medical Hospital	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_tcm_hospital_visit	secondary_broader_raw
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_care_and_insurance.dta	health_care	ee021s8	Receive Traditional Treatment Treatment During Hospitalization	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_traditional_inpatient_treatment	secondary_broader_raw
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_care_and_insurance.dta	health_care	ed021s7	Receive Traditional Treatment	multi-select item; non-missing/non-zero means selected	All respondents with health-care module record	For multi-select items, missing usually means not selected or not applicable; counts retain numeric missingness	raw_traditional_outpatient_treatment	secondary_broader_raw
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da010_13_s1	Take Chinese Traditional Medicine for Arthritis or Rheumatism	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_arthritis	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da018s1	Y/N Treat Cancer by Take Chinese Traditional Medicine	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_cancer	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da010_5_s1	Take Chinese Traditional Medicine for Chronic Lung Diseases	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_chronic_lung	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da014s1	Take Chinese Traditional Medicine for Diabetes	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_diabetes	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da010_10_s1	Take Chinese Traditional Medicine for Stomach or Other Digestive Disease	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_digestive	primary_candidate
1	2011	data/raw/charls/downloads/wave1_2011/all_modules/health_status_and_functioning.dta	health_status	da010_2_s1	Take Chinese Traditional Medicine for Dyslipidemia	multi-select item; non-missing/non-zero means selected	All respondents with health-status module record; condition-specific denominator to be checked using diagnosis variables	For multi-select items, missing usually means not selected or not applicable; composite treats not selected as 0 within module records	condition_tcm_dyslipidemia	primary_candidate
