province	year	source_id	source_name	source_url	source_edition	table_id	table_title	source_pdf_page	extraction_status	quality_flag	resource_definition	denominator_population	denominator_unit	denominator_source_id	denominator_notes	value_total_health_institution_beds	value_hospital_beds	value_comprehensive_hospital_beds	value_per_10000_population_total_health_institution_beds	value_per_10000_population_hospital_beds	value_per_10000_population_comprehensive_hospital_beds	unit	notes
北京市	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	20190000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	94735	87596	56312	46.92174343734522	43.385834571570086	27.891035165923725	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
天津市	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	13550000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	49423	40787	23320	36.474538745387456	30.10110701107011	17.210332103321033	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
河北省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	72410000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	266479	187504	141006	36.80140864521475	25.8947659163099	19.473277171661373	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
山西省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	35930000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	157132	110741	77940	43.73281380462009	30.821319231839688	21.69217923740607	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
内蒙古自治区	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	24820000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	100633	72871	54794	40.545124899274775	29.35979049153908	22.076551168412568	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
辽宁省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	43830000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	215815	171032	119186	49.23910563540954	39.021674652064796	27.192790326260553	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
吉林省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	27490000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	121240	94636	67509	44.1033102946526	34.42560931247726	24.55765732993816	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
黑龙江省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	38340000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	165255	129449	95957	43.10250391236307	33.763432446531034	25.02790818988002	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
上海市	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	23470000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	107130	87548	53910	45.64550489987218	37.30208777162335	22.96974861525351	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
江苏省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	78990000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	296390	221674	149049	37.52247119888594	28.06355234839853	18.86935055070262	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
浙江省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	54630000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	194759	162905	112954	35.650558301299654	29.819696137653303	20.676185246201722	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
安徽省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	59680000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	204210	140997	107434	34.217493297587126	23.62550268096515	18.00167560321716	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
福建省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	37200000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	124232	89947	64603	33.39569892473118	24.179301075268818	17.366397849462366	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
江西省	2011	nhc_yearbook_2012_full_pdf	China Health Statistical Yearbook 2012	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	2012	3-1-3	2011年各地区医疗卫生机构床位数	80	manual_double_checked_scan_transcription	scan_transcribed_twice_national_total_verified	Comprehensive hospitals are a mutually exclusive hospital category in yearbook table 3-1-3; they are used as a general health-system capacity co-exposure, not as a pure Western-medicine or placebo exposure.	44880000	persons	natcm_2011_extract_a86	Uses the same official NATCM province-year population denominator as the main TCM core-density panel.	135570	87184	62603	30.207219251336898	19.42602495543672	13.94897504456328	beds	Official yearbook PDF page 80; 31 province rows and all three published national totals verified.
