analysis_id	condition	outcome	denominator	interaction_scale	interaction_effect	ci_lower	ci_upper	conventional_pvalue	cr2_ci_lower	cr2_ci_upper	cr2_pvalue	cr2_df	n_persons	n_person_waves	n_events	n_clusters	fixed_effects	covariate_note	conventional_pvalue_holm	cr2_pvalue_holm
composite_continuous_burden	NA	Any condition-specific TCM treatment use	All age-eligible observations	Additional bed-density association per additional diagnosed condition	0.47844	0.00689	0.94999	0.04697	-0.04274	0.99962	0.06818	10.43248	13083	32634	7029	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	NA	NA
composite_multimorbidity_adjusted_for_count	NA	Any condition-specific TCM treatment use	All age-eligible observations	Additional bed-density association for multimorbidity after adjustment for chronic-condition count	1.60705	-0.09712	3.31121	0.06354	-0.20469	3.41878	0.0783	15.62089	13083	32634	7029	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	NA	NA
diagnosis_eligible_hypertension	hypertension	TCM treatment for hypertension	Respondents diagnosed with hypertension	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	-2.07302	-3.82742	-0.31862	0.0223	-3.89617	-0.24987	0.02822	16.76402	6153	12919	1371	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	0.2453	0.31038
diagnosis_eligible_diabetes	diabetes	TCM treatment for diabetes	Respondents diagnosed with diabetes	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	1.26699	-2.88546	5.41943	0.53654	-3.3815	5.91547	0.55345	9.13638	1989	3624	383	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	1	1
diagnosis_eligible_cancer	cancer	TCM treatment for cancer	Respondents diagnosed with cancer	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	4.96195	-8.82203	18.74593	0.46596	-9.98698	19.91087	0.47759	10.25589	353	532	93	27	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	1	1
diagnosis_eligible_chronic_lung	chronic_lung	TCM treatment for chronic lung disease	Respondents diagnosed with chronic_lung	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	1.52121	-2.18949	5.23191	0.40765	-2.35279	5.39521	0.41897	17.06018	2813	5399	941	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	1	1
diagnosis_eligible_heart	heart	TCM treatment for heart disease	Respondents diagnosed with heart	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	3.28472	0.12481	6.44463	0.04218	-0.15923	6.72867	0.05947	9.77853	3415	6654	1352	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	0.42178	0.59466
diagnosis_eligible_arthritis	arthritis	TCM treatment for arthritis	Respondents diagnosed with arthritis	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	-0.91343	-3.09312	1.26625	0.39744	-3.24107	1.4142	0.41328	13.60552	6295	13704	2479	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	1	1
diagnosis_eligible_dyslipidemia	dyslipidemia	TCM treatment for dyslipidemia	Respondents diagnosed with dyslipidemia	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	2.55058	-0.86417	5.96533	0.13701	-1.08116	6.18233	0.1537	13.49497	3184	5735	718	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	1	1
diagnosis_eligible_liver	liver	TCM treatment for liver disease	Respondents diagnosed with liver	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	-0.24074	-6.9645	6.48303	0.94198	-7.39875	6.91728	0.94296	12.39307	1102	1832	241	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	1	1
diagnosis_eligible_kidney	kidney	TCM treatment for kidney disease	Respondents diagnosed with kidney	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	3.98322	-0.78551	8.75195	0.09802	-1.30357	9.27001	0.12456	10.30383	1668	2933	500	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	0.88215	1
diagnosis_eligible_digestive	digestive	TCM treatment for digestive disease	Respondents diagnosed with digestive	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	2.03747	-0.91857	4.99351	0.16872	-1.0943	5.16924	0.18664	15.81348	4365	8967	1569	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	1	1
diagnosis_eligible_memory	memory	TCM treatment for memory-related disease	Respondents diagnosed with memory	Additional bed-density association for multimorbidity within a fixed diagnosis-eligible denominator	-7.08484	-19.25448	5.08479	0.24266	-21.1959	7.02621	0.28587	9.10963	836	1317	140	28	province and survey year	Individual covariates; diagnosis-eligible models additionally adjust for chronic-condition count	1	1
